Disease	Disease_id	Gene	Gene_id	UniProt	Gene_Full_Name	Protein_Class	N_diseases_g	DSI_g	DPI_g	pLI	Score_gda	EL_gda	EI_gda	N_PMIDs	N_SNPs_gda	First_Ref	Last_Ref
Heart failure	C0018801	GRK2	156	P25098	G protein-coupled receptor kinase 2	kinase; transferase	92	0.58	0.517		0.6	no reported evidence	0.904761904761905	22	0	1994.0	2017.0
Heart failure	C0018801	ACE	1636	P12821	angiotensin I converting enzyme	hydrolase; protease	624	0.367	0.897	1.5509e-37	0.6	no reported evidence	0.96969696969697	72	1	1992.0	2017.0
Heart failure	C0018801	ADRB1	153	P08588	adrenoceptor beta 1	receptor	77	0.586	0.586	3.4881e-06	0.6	no reported evidence	0.933333333333333	35	2	1992.0	2017.0
Heart failure	C0018801	AGT	183	P01019	angiotensinogen	enzyme modulator	451	0.406	0.862	3.8655e-08	0.6	no reported evidence	0.96551724137931	33	0	1992.0	2018.0
Heart failure	C0018801	AGTR1	185	P30556	angiotensin II receptor type 1	receptor	273	0.454	0.759	0.0005718	0.6	no reported evidence	1.0	16	0	1997.0	2014.0
Heart failure	C0018801	TNF	7124	P01375	tumor necrosis factor	signaling molecule	1640	0.263	0.966	0.8046	0.6	no reported evidence	0.9047619	30	0	1996.0	2013.0
Heart failure	C0018801	NPPB	4879	P16860	natriuretic peptide B		112	0.567	0.552	9.1339e-06	0.6	no reported evidence	0.9166667	28	0	1991.0	2016.0
Heart failure	C0018801	EDN1	1906	P05305	endothelin 1	signaling molecule	419	0.417	0.828	0.45733	0.6	no reported evidence	1.0	20	1	1994.0	2014.0
Heart failure	C0018801	ATP2A2	488	P16615	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2	hydrolase; transporter	98	0.572	0.552	0.99949	0.6	no reported evidence	0.909090909090909	13	0	1996.0	2016.0
Heart failure	C0018801	IL6	3569	P05231	interleukin 6		1330	0.287	0.966	0.33873	0.6	no reported evidence	1.0	14	0	2000.0	2016.0
Heart failure	C0018801	NPPA	4878	P01160	natriuretic peptide A		127	0.546	0.69	0.00063899	0.59	no reported evidence	0.8888889	14	1	1989.0	2015.0
Heart failure	C0018801	HIF1A	3091	Q16665	hypoxia inducible factor 1 subunit alpha	nucleic acid binding; transcription factor	586	0.367	0.793	0.97467	0.57	no reported evidence	1.0	9	0	2005.0	2016.0
Heart failure	C0018801	PPARGC1A	10891	Q9UBK2	PPARG coactivator 1 alpha	transcription factor	191	0.497	0.828	0.99991	0.55	no reported evidence	1.0	7	0	2004.0	2013.0
Heart failure	C0018801	HMOX1	3162	P09601	heme oxygenase 1	oxidoreductase	460	0.403	0.862	0.0078856	0.54	no reported evidence	1.0	6	0	2005.0	2016.0
Heart failure	C0018801	SOD2	6648	P04179	superoxide dismutase 2	oxidoreductase	488	0.396	0.897	0.15955	0.51	no reported evidence	1.0	6	0	2006.0	2014.0
Heart failure	C0018801	ADRB3	155	P13945	adrenoceptor beta 3	receptor	98	0.558	0.552	2.7182e-07	0.51	no reported evidence	1.0	4	0	2004.0	2011.0
Heart failure	C0018801	MSTN	2660	O14793	myostatin	signaling molecule	67	0.602	0.586	0.4399	0.51	no reported evidence	1.0	2	0	2007.0	2011.0
Heart failure	C0018801	HTR2B	3357	P41595	5-hydroxytryptamine receptor 2B	receptor	34	0.696	0.31	3.4768e-10	0.5	no reported evidence		2	0	2008.0	2009.0
Heart failure	C0018801	RAC1	5879	P63000	Rac family small GTPase 1	enzyme modulator	226	0.47	0.931	0.70654	0.5	no reported evidence		2	0	2003.0	2006.0
Heart failure	C0018801	TNNT2	7139	P45379	troponin T2, cardiac type	cytoskeletal protein	64	0.611	0.241	0.002605	0.42	no reported evidence	1.0	4	0	2002.0	2016.0
Heart failure	C0018801	REN	5972	P00797	renin	hydrolase; protease	373	0.423	0.759	2.1242e-07	0.4	no reported evidence	0.96875	35	0	1982.0	2017.0
Heart failure	C0018801	NR3C2	4306	P08235	nuclear receptor subfamily 3 group C member 2	nucleic acid binding; receptor; transcription factor	163	0.52	0.69	0.80843	0.4	no reported evidence	1.0	14	0	2005.0	2016.0
Heart failure	C0018801	NOS3	4846	P29474	nitric oxide synthase 3		467	0.401	0.862	8.8921e-07	0.4	no reported evidence	0.8461538	15	2	2008.0	2016.0
Heart failure	C0018801	VEGFA	7422	P15692	vascular endothelial growth factor A	signaling molecule	1174	0.298	0.897	2.651e-05	0.39	no reported evidence	1.0	11	0	2000.0	2016.0
