	Fluct DMSO_T0_0959	Fluct DMSO_T0_0960	Fluct DMSO_T0_0958	Fluct DMSO_T2_0962	Fluct DMSO_T2_0961	Fluct DMSO_T2_0963	Fluct DMSO_T8_0964	Fluct DMSO_T8_0966	Fluct DMSO_T8_0965	Fluct DMSO_T24_0968	Fluct DMSO_T24_0967	Fluct DMSO_T24_0969	Fluct DMSO_T72_0970	Fluct DMSO_T72_0972	Fluct DMSO_T72_0971	Fluct DMSO_T168_0973	Fluct DMSO_T168_0975	Fluct DMSO_T168_0974	Fluct DMSO_T240_0976	Fluct DMSO_T240_0977	Fluct DMSO_T240_0978	Fluct DMSO_T336_0979	Fluct DMSO_T336_0981	Fluct DMSO_T336_0980	DOX_Therapeutic_T2_274	DOX_Therapeutic_T2_275	DOX_Therapeutic_T2_276	DOX_Therapeutic_T8_278	DOX_Therapeutic_T8_279	DOX_Therapeutic_T8_277	DOX_Therapeutic_T8_278	DOX_Therapeutic_T8_279	DOX_Therapeutic_T8_277	DOX_Therapeutic_T24_282	DOX_Therapeutic_T24_280	DOX_Therapeutic_T24_281	DOX_Therapeutic_T72_284	DOX_Therapeutic_T72_283	DOX_Therapeutic_T72_285	DOX_Therapeutic_T168_286	DOX_Therapeutic_T168_288	DOX_Therapeutic_T168_287	DOX_Therapeutic_T240_290	DOX_Therapeutic_T240_291	DOX_Therapeutic_T240_289	DOX_Therapeutic_T336_292	DOX_Therapeutic_T336_294	DOX_Therapeutic_T336_293	DOX_Toxic_T2_295	DOX_Toxic_T2_296	DOX_Toxic_T2_297	DOX_Toxic_T8_299	DOX_Toxic_T8_298	DOX_Toxic_T8_300	DOX_Toxic_T24_302	DOX_Toxic_T24_301	DOX_Toxic_T24_303	DOX_Toxic_T72_306	DOX_Toxic_T72_305	DOX_Toxic_T72_304	DOX_Toxic_T168_307	DOX_Toxic_T168_308	DOX_Toxic_T168_309	DOX_Toxic_T240_311	DOX_Toxic_T240_312	DOX_Toxic_T240_310	DOX_Toxic_T336_313	DOX_Toxic_T336_315	DOX_Toxic_T336_314	EPI_Therapeutic_T2_317	EPI_Therapeutic_T2_316	EPI_Therapeutic_T2_318	EPI_Therapeutic_T8_321	EPI_Therapeutic_T8_320	EPI_Therapeutic_T8_319	EPI_Therapeutic_T24_323	EPI_Therapeutic_T24_324	EPI_Therapeutic_T24_322	EPI_Therapeutic_T72_325	EPI_Therapeutic_T72_326	EPI_Therapeutic_T72_327	EPI_Therapeutic_T168_329	EPI_Therapeutic_T168_328	EPI_Therapeutic_T168_330	EPI_Therapeutic_T240_332	EPI_Therapeutic_T240_333	EPI_Therapeutic_T240_331	EPI_Therapeutic_T336_334	EPI_Therapeutic_T336_336	EPI_Therapeutic_T336_335	EPI_Toxic_T2_338	EPI_Toxic_T2_339	EPI_Toxic_T2_337	EPI_Toxic_T8_340	EPI_Toxic_T8_341	EPI_Toxic_T8_342	EPI_Toxic_T24_344	EPI_Toxic_T24_345	EPI_Toxic_T24_343	EPI_Toxic_T72_347	EPI_Toxic_T72_348	EPI_Toxic_T72_346	EPI_Toxic_T168_349	EPI_Toxic_T168_351	EPI_Toxic_T168_350	EPI_Toxic_T240_354	EPI_Toxic_T240_353	EPI_Toxic_T240_352	EPI_Toxic_T336_355	EPI_Toxic_T336_357	EPI_Toxic_T336_356	IDA_Therapeutic_T2_211	IDA_Therapeutic_T2_213	IDA_Therapeutic_T2_212	IDA_Therapeutic_T8_214	IDA_Therapeutic_T8_215	IDA_Therapeutic_T8_216	IDA_Therapeutic_T24_217	IDA_Therapeutic_T24_218	IDA_Therapeutic_T24_219	IDA_Therapeutic_T72_222	IDA_Therapeutic_T72_221	IDA_Therapeutic_T72_220	IDA_Therapeutic_T168_223	IDA_Therapeutic_T168_224	IDA_Therapeutic_T168_225	IDA_Therapeutic_T240_228	IDA_Therapeutic_T240_227	IDA_Therapeutic_T240_226	IDA_Therapeutic_T336_230	IDA_Therapeutic_T336_229	IDA_Therapeutic_T336_231	IDA_Toxic_T2_232	IDA_Toxic_T2_233	IDA_Toxic_T8_237	IDA_Toxic_T8_236	IDA_Toxic_T8_235	IDA_Toxic_T24_238	IDA_Toxic_T24_240	IDA_Toxic_T72_242	IDA_Toxic_T72_243	IDA_Toxic_T72_241	IDA_Toxic_T168_245	IDA_Toxic_T168_246	IDA_Toxic_T168_244	DAU_Therapeutic_T0_618	DAU_Therapeutic_T0_617	DAU_Therapeutic_T0_616	DAU_Therapeutic_T240_634	DAU_Therapeutic_T240_636	DAU_Therapeutic_T240_635	DAU_Therapeutic_T168_633	DAU_Therapeutic_T168_631	DAU_Therapeutic_T168_632	DAU_Therapeutic_T72_630	DAU_Therapeutic_T72_629	DAU_Therapeutic_T72_628	DAU_Therapeutic_T24_625	DAU_Therapeutic_T24_627	DAU_Therapeutic_T24_626	DAU_Therapeutic_T8_623	DAU_Therapeutic_T8_624	DAU_Therapeutic_T8_622	DAU_Therapeutic_T2_619	DAU_Therapeutic_T2_621	DAU_Therapeutic_T2_620	DAU_Therapeutic_T336_639	DAU_Therapeutic_T336_638	DAU_Therapeutic_T336_637	DAU_Toxic_T240_657	DAU_Toxic_T240_655	DAU_Toxic_T240_656	DAU_Toxic_T168_652	DAU_Toxic_T168_654	DAU_Toxic_T168_653	DAU_Toxic_T72_649	DAU_Toxic_T72_651	DAU_Toxic_T72_650	DAU_Toxic_T24_646	DAU_Toxic_T24_647	DAU_Toxic_T24_648	DAU_Toxic_T8_643	DAU_Toxic_T8_645	DAU_Toxic_T8_644	DAU_Toxic_T2_642	DAU_Toxic_T2_641	DAU_Toxic_T2_640
sp|A1L0T0|ILVBL_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.680052	8.884309	7.747381	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|A3KMH1|VWA8_HUMAN	16.919374	16.987288	16.815905	NaN	NaN	NaN	11.755542	8.3392315	14.499144	5.975422	12.028258	6.9100676	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.540845	9.7131195	9.193372	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|A6NC57|ANR62_HUMAN	12.610686	13.13146	13.071913	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.04581	12.277288	13.029771	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|A6NHG4|DDTL_HUMAN : sp|P30046|DOPD_HUMAN	10.506049	10.022726	9.910133	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.93712	11.018126	10.861667	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.425899	11.344228	11.484815	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.403026	11.237629	11.446865	11.358477	11.3383255	11.277594	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.699313	11.033169	11.183215	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.072795	10.946291	NaN	NaN	NaN	NaN	NaN	11.5841465	11.663288	10.472248	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|A6NHR9|SMHD1_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.480722	8.090981	8.470108	NaN	NaN	NaN	NaN	NaN	NaN	8.023152	8.106205	8.31852	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|A6NIZ1|RP1BL_HUMAN : sp|P61224|RAP1B_HUMAN : sp|P62834|RAP1A_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.130765	11.116701	11.349799	10.582215	10.703934	10.670662	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.805524	11.728462	11.286597	NaN	NaN	NaN	NaN	NaN	NaN	11.361397	11.707222	11.764466	NaN	NaN	NaN
sp|A6QL64|AN36A_HUMAN : sp|Q8N2N9|AN36B_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.4123135	6.70213	10.7811365	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|A8MWD9|RUXGL_HUMAN : sp|P62308|RUXG_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.485887	11.279863	11.495387	NaN	NaN	NaN	11.310597	11.531836	11.305448	NaN	NaN	NaN	11.442648	11.190701	11.174949	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.135906	11.329391	10.793937	NaN	NaN	NaN	10.987332	11.24036	11.048097	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.729516	10.584474	10.77703	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.486274	9.750584	9.832542	9.820257	10.56905	10.266035	10.202763	10.317551	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.480431	11.428733	11.781111	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|B2RPK0|HGB1A_HUMAN : sp|P09429|HMGB1_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13.532374	12.944068	13.405716	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|B5ME19|EIFCL_HUMAN : sp|Q99613|EIF3C_HUMAN	10.899467	11.527202	11.004736	9.656664	10.45949	10.626485	11.24177	11.149838	11.284956	10.813093	10.745631	10.6221695	9.913521	10.161079	10.958097	NaN	NaN	NaN	NaN	NaN	NaN	10.664226	9.837173	10.584082	11.415408	11.389585	11.324949	11.331235	11.423029	11.2814865	NaN	NaN	NaN	10.049901	10.432627	10.328194	10.288178	10.328432	10.448961	10.246923	10.434609	10.363843	NaN	NaN	NaN	9.958465	10.115865	10.165304	9.987924	9.839797	9.869653	11.661613	11.623298	11.6337	9.578104	9.663522	9.785573	NaN	NaN	NaN	11.588074	11.570596	11.790205	10.379124	10.398193	10.394321	10.547405	10.620205	10.6766405	10.08228	10.345163	10.133845	NaN	NaN	NaN	10.616305	11.220698	10.892793	10.431122	10.403812	10.274406	10.556179	10.65942	10.947386	10.832243	10.689695	10.59243	10.401429	10.363255	10.470362	10.191959	10.051007	9.768892	NaN	NaN	NaN	9.857618	10.023924	10.013564	NaN	NaN	NaN	10.523174	10.331506	10.316979	NaN	NaN	NaN	NaN	NaN	NaN	11.336886	11.406888	11.397661	10.204369	10.256275	10.190332	10.095906	10.082201	10.364911	11.584729	11.751842	11.7825985	9.839144	9.875942	9.677591	11.3631525	11.587802	11.325353	11.44102	11.27974	11.89796	11.519914	10.980459	NaN	NaN	NaN	10.085227	10.071455	11.645482	11.404303	11.448864	11.647955	11.400478	11.739388	NaN	NaN	NaN	10.511082	10.212399	8.519908	10.5699005	10.528849	10.98032	NaN	NaN	NaN	NaN	NaN	NaN	10.6839	10.805424	10.834588	10.478644	10.90377	10.642915	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.037519	9.899233	10.568076	11.164455	9.907144	10.034788	NaN	NaN	NaN
