Protein	20161003_004_10188	20161003_006_686	20161003_007_534	20161003_009_10201	20161003_010_10132	20161003_012_10130	20161003_013_217	20161003_015_442	20161003_016_10206	20161003_019_10217	20161003_020_407	20161003_022_10204	20161003_023_397	20161003_025_523	20161003_026_10198	20161003_028_562	20170428_02_heartbiopsy_1	20170428_03_heartbiopsy_2	20170428_05_heartbiopsy_4	20170428_06_heartbiopsy_5	20170428_11_heartbiopsy_3
sp|A1L0T0|ILVBL_HUMAN	12.463498	11.903906	12.071905	13.133878	10.548961	8.619487	11.375018	9.627901	12.158074	11.135233	11.187011	10.944781	10.874968	11.603135	11.331554	10.382378	11.6469555	NaN	NaN	NaN	8.729828
sp|A3KMH1|VWA8_HUMAN	13.032144	12.979032	14.399142	13.115706	14.971911	15.662189	14.604803	14.920118	13.345534	14.385851	14.7342825	15.402789	15.498973	14.412541	13.506934	12.908842	11.510939	12.060577	12.178987	11.359459	9.790951
sp|A4UGR9|XIRP2_HUMAN	12.465093	12.173778	13.218131	10.4555435	10.331354	11.234292	13.810864	11.729611	10.797247	11.17832	11.749133	11.07199	11.406858	13.068944	11.095141	10.661728	12.782197	11.611509	12.250915	13.581381	14.875923
sp|A6NCE7|MP3B2_HUMAN : sp|Q9GZQ8|MLP3B_HUMAN	9.347002	8.054365	9.106958	6.8331146	10.680206	8.785233	9.176746	9.142199	7.125289	9.445305	9.205526	9.642097	8.547652	8.807067	8.751064	7.3456063	NaN	NaN	NaN	NaN	NaN
sp|A6NDG6|PGP_HUMAN	9.209601	5.552768	10.12239	4.615552	9.307856	6.1608906	10.768883	10.109805	6.2752323	9.800779	9.805928	8.859497	11.077734	9.92972	6.9234705	4.202879	11.586888	10.705186	8.705167	10.948236	NaN
sp|A6NMZ7|CO6A6_HUMAN	10.624899	10.200307	10.890782	8.957384	13.114882	10.411016	10.540857	11.090406	8.324903	10.809185	11.429025	11.822469	10.13329	11.437686	9.619616	8.27564	11.746147	11.152132	9.216269	7.4734955	6.6609807
sp|A8K0Z3|WASH1_HUMAN : sp|A8MWX3|WASH4_HUMAN : sp|C4AMC7|WASH3_HUMAN : sp|Q6VEQ5|WASH2_HUMAN	8.791934	9.751172	9.130694	9.824293	10.07006	12.343863	6.7460585	10.086931	10.171984	9.887585	8.374134	10.419091	8.692305	8.267767	10.805099	10.322078	NaN	NaN	4.077224	NaN	2.838666
sp|B5ME19|EIFCL_HUMAN : sp|Q99613|EIF3C_HUMAN	9.466964	9.283472	9.2033	9.223342	8.493875	8.044103	9.322232	7.6462803	8.409537	8.894083	8.127671	7.816124	6.337965	7.6711025	-2.4419448	7.367606	NaN	NaN	NaN	NaN	NaN
sp|B9A064|IGLL5_HUMAN	11.516445	11.634171	10.872315	12.905552	12.478569	12.146506	12.090587	12.771418	12.580905	11.786142	12.913354	12.503914	12.152166	11.720043	13.439608	13.219077	9.688205	9.214811	8.924633	8.603378	12.934738
sp|E9PAV3|NACAM_HUMAN	14.352099	14.814901	14.50665	15.259089	14.948283	15.355667	14.708567	14.593457	15.134887	14.8536415	14.007824	14.732739	14.786614	14.331226	14.516584	15.282308	13.383621	13.434976	12.44975	12.660242	14.303647
