"","Invitro_protein","Biopsies_protein","Protein_detection","Heart_Failure_info_protein","High_MM_Protein"
"A1L0T0",NA,"turquoise",2,FALSE,FALSE
"A2A3L6",NA,"brown",2,FALSE,FALSE
"A3KMH1",NA,"yellow",2,FALSE,TRUE
"A4UGR9",NA,"turquoise",2,TRUE,FALSE
"A6NDG6",NA,"green",2,FALSE,TRUE
"A6NMZ7",NA,"yellow",2,FALSE,FALSE
"B9A064",NA,"brown",2,FALSE,FALSE
"E9PAV3","turquoise","blue",3,FALSE,FALSE
"O00151","turquoise","blue",3,FALSE,TRUE
"O00159",NA,"turquoise",2,FALSE,TRUE
"O00217","brown","blue",3,FALSE,FALSE
"O00231","green","blue",3,FALSE,FALSE
"O00232",NA,"turquoise",2,FALSE,FALSE
"O00299","blue","red",3,FALSE,FALSE
"O00330","brown","brown",3,FALSE,FALSE
"O00339",NA,"green",2,FALSE,TRUE
"O00410",NA,"turquoise",2,FALSE,FALSE
"O00425","turquoise",NA,1,FALSE,FALSE
"O00429","turquoise","yellow",3,TRUE,FALSE
"O00468",NA,"pink",2,FALSE,FALSE
"O00479",NA,"red",2,FALSE,TRUE
"O00483",NA,"green",2,FALSE,TRUE
"O00571","green","green",3,FALSE,FALSE
"O00629",NA,"turquoise",2,FALSE,TRUE
"O00748",NA,"pink",2,FALSE,FALSE
"O00764",NA,"green",2,FALSE,TRUE
"O14548",NA,"turquoise",2,FALSE,FALSE
"O14558",NA,"blue",2,FALSE,FALSE
"O14559",NA,"yellow",2,FALSE,TRUE
"O14561","red","brown",3,FALSE,FALSE
"O14639","green","brown",3,FALSE,FALSE
"O14646",NA,"black",2,FALSE,FALSE
"O14737",NA,"brown",2,FALSE,TRUE
"O14773","turquoise","blue",3,FALSE,FALSE
"O14818","green","brown",3,FALSE,FALSE
"O14880","blue","turquoise",3,FALSE,FALSE
"O14907",NA,"red",2,FALSE,FALSE
"O14949",NA,"turquoise",2,FALSE,FALSE
"O14958",NA,"blue",2,TRUE,FALSE
"O14974","turquoise","brown",3,FALSE,FALSE
"O14979","turquoise","yellow",3,FALSE,TRUE
"O15020",NA,"yellow",2,FALSE,FALSE
"O15061",NA,"blue",2,FALSE,TRUE
"O15144","blue","yellow",3,FALSE,TRUE
"O15145","turquoise","red",3,FALSE,FALSE
"O15173","blue","turquoise",3,FALSE,FALSE
"O15212",NA,"red",2,FALSE,FALSE
"O15230","yellow","pink",3,FALSE,FALSE
"O15239",NA,"turquoise",2,FALSE,FALSE
"O15273",NA,"turquoise",2,FALSE,FALSE
"O15327",NA,"brown",2,FALSE,FALSE
"O15372",NA,"blue",2,FALSE,FALSE
"O15382",NA,"turquoise",2,FALSE,FALSE
"O15400",NA,"turquoise",2,FALSE,FALSE
"O15511",NA,"red",2,FALSE,FALSE
"O43169",NA,"turquoise",2,FALSE,FALSE
"O43175","green",NA,1,FALSE,FALSE
"O43181",NA,"blue",2,FALSE,FALSE
"O43237",NA,"yellow",2,FALSE,FALSE
"O43242","blue","turquoise",3,FALSE,TRUE
"O43301",NA,"green",2,FALSE,FALSE
"O43390","brown","blue",3,FALSE,TRUE
"O43396",NA,"blue",2,FALSE,FALSE
"O43399",NA,"turquoise",2,FALSE,FALSE
"O43488",NA,"brown",2,FALSE,FALSE
"O43491",NA,"blue",2,FALSE,FALSE
"O43583",NA,"red",2,TRUE,TRUE
"O43615",NA,"turquoise",2,FALSE,FALSE
"O43674",NA,"turquoise",2,FALSE,FALSE
"O43676",NA,"green",2,FALSE,FALSE
"O43678","brown","blue",3,FALSE,FALSE
"O43707","blue","yellow",3,FALSE,FALSE
"O43765","turquoise","turquoise",3,TRUE,FALSE
"O43772",NA,"turquoise",2,FALSE,TRUE
"O43776","blue","green",3,FALSE,TRUE
"O43813",NA,"yellow",2,FALSE,FALSE
"O43837","brown","brown",3,FALSE,FALSE
"O43852","blue","red",3,FALSE,TRUE
"O43865",NA,"red",2,FALSE,TRUE
"O43920","turquoise","blue",3,FALSE,FALSE
"O60220",NA,"brown",2,FALSE,TRUE
"O60237",NA,"brown",2,FALSE,FALSE
"O60240",NA,"red",2,FALSE,FALSE
"O60244",NA,"blue",2,FALSE,FALSE
"O60313","green","turquoise",3,TRUE,FALSE
"O60437",NA,"blue",2,FALSE,FALSE
"O60493","turquoise","blue",3,FALSE,TRUE
"O60494",NA,"blue",2,FALSE,FALSE
"O60506","turquoise","brown",3,FALSE,FALSE
"O60662",NA,"green",2,FALSE,FALSE
"O60664","blue","yellow",3,FALSE,FALSE
"O60701","blue",NA,1,FALSE,FALSE
"O60716","turquoise","yellow",3,FALSE,FALSE
"O60739",NA,"brown",2,FALSE,FALSE
"O60763","blue","pink",3,FALSE,FALSE
"O60884",NA,"yellow",2,FALSE,FALSE
"O60888",NA,"brown",2,FALSE,FALSE
"O60936",NA,"green",2,FALSE,FALSE
"O75083","turquoise","blue",3,FALSE,FALSE
"O75112","turquoise","black",3,FALSE,FALSE
"O75131","yellow","turquoise",3,FALSE,FALSE
"O75147","turquoise",NA,1,FALSE,FALSE
"O75155",NA,"green",2,FALSE,TRUE
"O75179",NA,"blue",2,FALSE,FALSE
"O75190",NA,"blue",2,FALSE,FALSE
"O75208",NA,"brown",2,FALSE,FALSE
"O75251",NA,"red",2,FALSE,FALSE
"O75306","brown","turquoise",3,FALSE,TRUE
"O75323","green","brown",3,FALSE,FALSE
"O75339",NA,"turquoise",2,FALSE,FALSE
"O75347","turquoise","blue",3,FALSE,TRUE
"O75367","yellow","turquoise",3,FALSE,FALSE
"O75368","turquoise","blue",3,FALSE,TRUE
"O75369",NA,"red",2,FALSE,FALSE
"O75380","green","blue",3,TRUE,FALSE
"O75390","blue","turquoise",3,TRUE,TRUE
"O75396","blue","turquoise",3,FALSE,FALSE
"O75431",NA,"turquoise",2,FALSE,TRUE
"O75438",NA,"blue",2,FALSE,FALSE
"O75439","green","brown",3,FALSE,TRUE
"O75489","brown","blue",3,FALSE,TRUE
"O75521","blue","brown",3,FALSE,FALSE
"O75531","brown","red",3,FALSE,TRUE
"O75534","green",NA,1,FALSE,FALSE
"O75608","green","blue",3,FALSE,FALSE
"O75648",NA,"blue",2,FALSE,TRUE
"O75746","turquoise","turquoise",3,FALSE,TRUE
"O75874","brown","red",3,FALSE,TRUE
"O75915",NA,"turquoise",2,FALSE,TRUE
"O75923",NA,"turquoise",2,FALSE,FALSE
"O75947","brown","brown",3,FALSE,TRUE
"O75955","brown","yellow",3,FALSE,FALSE
"O75964",NA,"brown",2,FALSE,FALSE
"O76041","turquoise","blue",3,FALSE,TRUE
"O76070",NA,"blue",2,FALSE,FALSE
"O94826",NA,"turquoise",2,TRUE,TRUE
"O94874",NA,"turquoise",2,FALSE,TRUE
"O94875","turquoise","blue",3,FALSE,FALSE
"O94903",NA,"blue",2,FALSE,TRUE
"O94905","brown",NA,1,FALSE,FALSE
"O94925","brown","brown",3,FALSE,FALSE
"O94929",NA,"blue",2,FALSE,FALSE
"O94979","blue",NA,1,FALSE,FALSE
"O95057",NA,"turquoise",2,FALSE,FALSE
"O95139",NA,"blue",2,FALSE,FALSE
"O95140",NA,"turquoise",2,TRUE,TRUE
"O95155",NA,"blue",2,FALSE,TRUE
"O95167",NA,"blue",2,FALSE,FALSE
"O95168",NA,"blue",2,FALSE,FALSE
"O95169",NA,"turquoise",2,FALSE,FALSE
"O95182",NA,"blue",2,FALSE,FALSE
"O95202","blue","turquoise",3,FALSE,TRUE
"O95210",NA,"green",2,FALSE,TRUE
"O95292",NA,"turquoise",2,FALSE,TRUE
