Disease	Disease_id	Gene	Gene_id	Score_gda	Association_Type	 Type	Original_DB	Sentence	PMID	PMID_Year
Heart failure	C0018801	IL18	3606	0.07	Biomarker		BEFREE	"Since IL-18BP expression is markedly inhibited, our results indicate a positive amplification in <span class=""gene"" id=""25108227-10-97-102"">IL-18</span> proinflammatory signaling during pressure overload, and suggest <span class=""gene"" id=""25108227-10-167-172"">IL-18</span> as a potential therapeutic target in pathological hypertrophy and <span class=""disease"" id=""25108227-10-239-254"">cardiac failure</span>."	25108227.0	2015.0
Heart failure	C0018801	SLC3A2	6520	0.06	AlteredExpression		BEFREE	"In contrast, steady-state levels of phospholamban mRNA decreased, whereas levels of beta-myosin <span class=""gene"" id=""2040039-10-96-107"">heavy-chain</span> mRNA were unchanged with <span class=""disease"" id=""2040039-10-133-146"">heart failure</span>."	2040039.0	1991.0
Heart failure	C0018801	MIR126	406913	0.01	Biomarker		BEFREE	"The plasma concentration of <span class=""gene"" id=""21157109-9-28-35"">miR-126</span> was negatively correlated with age and NYHA class, and could be a useful biomarker for <span class=""disease"" id=""21157109-9-123-136"">heart failure</span>."	21157109.0	2011.0
Heart failure	C0018801	PIK3CA	5290	0.04	Biomarker		BEFREE	"Genetic ablation of both <span class=""gene"" id=""21912691-3-25-30"">p110α</span> and p110β in cardiac myocytes throughout development or in adult mice caused <span class=""disease"" id=""21912691-3-108-121"">heart failure</span> and death."	21912691.0	2011.0
Heart failure	C0018801	BRCA1	672	0.02	GeneticVariation		BEFREE	"<span class=""gene"" id=""22186889-7-0-5"">BRCA1</span> mutation carriers, in addition to risk of breast and ovarian cancer, may be at a previously unrecognized risk of <span class=""disease"" id=""22186889-7-119-134"">cardiac failure</span>."	22186889.0	2012.0
Heart failure	C0018801	AGTR1	185	0.6	AlteredExpression		BEFREE	"In human ventricles (n=13), message levels of atrial natriuretic peptide and <span class=""gene"" id=""10715259-4-77-81"">AT(1</span>) receptor were inversely correlated, which suggests a decrease in <span class=""gene"" id=""10715259-4-148-152"">AT(1</span>) receptor expression with progressive <span class=""disease"" id=""10715259-4-191-204"">heart failure</span>."	10715259.0	2000.0
Heart failure	C0018801	MMP9	4318	0.25	Biomarker		RGD	Matrix metalloproteinase inhibition attenuates left ventricular remodeling and dysfunction in a rat model of progressive heart failure.	11342481.0	2001.0
Heart failure	C0018801	ADRB3	155	0.51	Biomarker		RGD	"Data obtained from Western blots revealed that testosterone upregulated the expression of β(2)-adrenoceptor, Gs, Gi(2) and bcl2 levels, downregulated the expression of <span class=""gene"" id=""21549119-5-168-185"">β(3)-adrenoceptor</span>, Gi(3) and GRK2 levels, and did not modify the expression of β(1)-adrenoceptor levels in the hearts of castrated rats subjected to doxorubicin-induced <span class=""disease"" id=""21549119-5-337-350"">heart failure</span>."	21549119.0	2011.0
Heart failure	C0018801	ANXA5	308	0.03	Biomarker		BEFREE	"<span class=""gene"" id=""20542876-5-0-5"">AnxA5</span> ELISA was performed in plasma from 57 patients with <span class=""disease"" id=""20542876-5-58-60"">HF</span> and ventricular dyssynchrony at baseline and after 1 year of CRT."	20542876.0	2011.0
Heart failure	C0018801	G6PD	2539	0.02	AlteredExpression		BEFREE	"These findings demonstrate that dysregulation of <span class=""gene"" id=""17693254-6-49-53"">G6PD</span> activity is necessary and sufficient for maladaptive reductive stress and suggest a novel therapeutic target for abrogating R120GCryAB cardiomyopathy and <span class=""disease"" id=""17693254-6-208-221"">heart failure</span> in humans."	17693254.0	2007.0
Heart failure	C0018801	MYH6	4624	0.32	AlteredExpression		BEFREE	"Given the potential physiological consequences of cardiac MyHC isoform shifts, we determined <span class=""gene"" id=""9410916-3-93-97"">MyHC</span> gene expression in human <span class=""disease"" id=""9410916-3-123-136"">heart failure</span> where cardiac contractility is impaired significantly."	9410916.0	1997.0
Heart failure	C0018801	FLNA	2316	0.1	Biomarker		HPO			
